"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.443110375E0,6.885980530E0,-6.735094299E0,8.249345398E-1
1.453105375E0,6.807244263E0,-6.764732666E0,7.976911926E-1
1.463101375E0,6.750362549E0,-6.808292084E0,7.728428650E-1
1.473097375E0,6.772965546E0,-6.841822357E0,7.779322815E-1
1.483092375E0,6.804100800E0,-6.837631073E0,7.888595581E-1
1.493088375E0,6.864575043E0,-6.782845001E0,8.408015442E-1
1.503083375E0,6.853049011E0,-6.697821808E0,9.364526367E-1
1.513079375E0,6.850354614E0,-6.658303986E0,9.641450500E-1
1.523075375E0,6.885830841E0,-6.663393402E0,9.288185120E-1
1.533070375E0,6.938371582E0,-6.674769745E0,8.538244629E-1
1.543066375E0,7.057823181E0,-6.696324921E0,8.292755127E-1
1.553062375E0,7.212002563E0,-6.666087799E0,7.917036438E-1
1.563057375E0,7.282056885E0,-6.646328888E0,7.649093628E-1
1.573053375E0,7.371121674E0,-6.622528381E0,8.171507263E-1
1.583049375E0,7.392377472E0,-6.660699005E0,7.421566772E-1
1.593044375E0,7.323071594E0,-6.742279358E0,7.798782349E-1
1.603040375E0,7.263794861E0,-6.718029785E0,8.153544617E-1
1.613035375E0,7.167395325E0,-6.700366516E0,7.613168335E-1
1.623031375E0,7.160359955E0,-6.767127686E0,7.198530579E-1
1.633027375E0,6.937323761E0,-6.929539948E0,8.277786255E-1
1.643022375E0,6.833140411E0,-6.900949402E0,9.066645813E-1
1.653018375E0,6.731501770E0,-6.875951385E0,9.848020935E-1
1.663014375E0,6.782246246E0,-6.775809631E0,1.380429382E0
1.673009375E0,6.972350922E0,-6.727909241E0,1.566342773E0
1.683005375E0,7.143894196E0,-6.709048462E0,1.700763245E0
1.693000375E0,7.215445404E0,-6.866371307E0,1.458417206E0
1.702996375E0,7.010820923E0,-6.921456757E0,1.220112762E0
1.712992375E0,6.831643524E0,-6.827003174E0,9.804611206E-1
1.722987375E0,6.531218262E0,-6.759343872E0,9.554631042E-1
1.732983375E0,6.426436157E0,-6.715934143E0,1.107097778E0
1.742979375E0,6.528074799E0,-6.650969238E0,1.188827820E0
1.752974333E0,6.673572235E0,-6.771318970E0,1.218017120E0
1.762970333E0,6.794820099E0,-6.779102783E0,1.090033264E0
1.772966333E0,6.779402161E0,-6.695127411E0,1.016536102E0
1.782961333E0,6.944359131E0,-6.705755310E0,9.388476562E-1
1.792957333E0,7.023245087E0,-6.802753601E0,7.966433716E-1
1.802952333E0,7.067852325E0,-6.878795471E0,7.029382324E-1
1.812948333E0,6.968908081E0,-6.921456757E0,7.229965210E-1
1.822944333E0,6.919810181E0,-6.964567108E0,8.481362915E-1
1.832939333E0,6.845564575E0,-6.971153412E0,9.141490173E-1
1.842935333E0,6.774312744E0,-6.844516754E0,9.503736877E-1
1.852931333E0,6.874304810E0,-6.748266907E0,1.066382446E0
1.862926333E0,7.038064270E0,-6.753655701E0,1.215173035E0
1.872922333E0,7.082072754E0,-6.785389709E0,1.163979492E0
1.882917333E0,7.076085205E0,-6.808142395E0,9.542655945E-1
1.892913333E0,7.026089172E0,-6.859335938E0,8.318202209E-1
1.902909333E0,7.012168121E0,-6.783593445E0,7.749385071E-1
1.912904333E0,7.131170654E0,-6.729406128E0,7.110214233E-1
1.922900333E0,7.164401550E0,-6.760691071E0,7.870632935E-1
1.932896333E0,7.039112091E0,-6.742279358E0,9.895921326E-1
1.942891333E0,6.935677185E0,-6.720275116E0,1.110989685E0
1.952887333E0,6.775510254E0,-6.782246246E0,1.169667664E0
1.962883333E0,6.661447449E0,-6.757547607E0,1.164428558E0
1.972878333E0,6.719077606E0,-6.693331146E0,1.089584198E0
1.982874333E0,6.835086365E0,-6.709946594E0,1.059945831E0
1.992869333E0,6.989415436E0,-6.780749359E0,1.051862640E0
2.002865333E0,7.085515594E0,-6.766828308E0,1.028511200E0
2.012861333E0,7.110064545E0,-6.777755585E0,1.021475830E0
2.022856333E0,6.964267731E0,-6.737938385E0,1.052910461E0
2.032852333E0,6.880741425E0,-6.687044220E0,1.103654938E0
2.042848333E0,6.992109833E0,-6.657854919E0,1.195863190E0
2.052843333E0,7.113058319E0,-6.643484802E0,1.258882141E0
2.062839333E0,7.166497192E0,-6.629863129E0,1.226399689E0
2.072835333E0,7.188800812E0,-6.667135620E0,1.213227081E0
2.082830333E0,7.209158478E0,-6.740932159E0,1.155147858E0
2.092826333E0,7.164850616E0,-6.724466400E0,1.093775482E0
2.102821333E0,7.132368164E0,-6.711443481E0,1.056502991E0
2.112817333E0,7.085365906E0,-6.693780212E0,1.056203613E0
2.122813333E0,7.047045593E0,-6.618337097E0,1.142723694E0
2.132808333E0,7.012617188E0,-6.568790131E0,1.164278870E0
2.142804333E0,7.013665009E0,-6.528823242E0,1.133742371E0
2.152800333E0,7.097640381E0,-6.564748535E0,1.131347351E0
2.162795333E0,7.137756958E0,-6.568939819E0,1.046174469E0
2.172791333E0,7.196434937E0,-6.538702698E0,1.052760773E0
2.182787333E0,7.250322876E0,-6.588399353E0,1.019080811E0
2.192782333E0,7.221432953E0,-6.591093750E0,9.987231445E-1
2.202778333E0,7.109465790E0,-6.533313904E0,1.050515442E0
2.212773333E0,7.016359406E0,-6.485114136E0,1.106499023E0
2.222771333E0,6.996301117E0,-6.520740051E0,1.130898285E0
2.232767333E0,7.035369873E0,-6.576124878E0,1.170865173E0
2.242762333E0,7.095694427E0,-6.619833984E0,1.181642761E0
2.252758333E0,7.170538788E0,-6.681356049E0,1.146316223E0
2.262753333E0,7.220235443E0,-6.706204376E0,1.064286804E0
2.272749333E0,7.162754974E0,-6.694528656E0,9.648934937E-1
2.282745333E0,7.084467773E0,-6.640041962E0,9.596543884E-1
2.292740333E0,7.022646332E0,-6.619085541E0,9.937834167E-1
2.302736333E0,7.022646332E0,-6.593488770E0,1.032852173E0
2.312732333E0,7.055428162E0,-6.561455383E0,1.053359528E0
2.322727333E0,7.104076996E0,-6.526577911E0,1.093326416E0
2.332723333E0,7.198231201E0,-6.523584137E0,1.084195404E0
2.342718333E0,7.267387390E0,-6.585106201E0,1.001567230E0
2.352714333E0,7.235054626E0,-6.605314178E0,9.479786682E-1
2.362710333E0,7.151827698E0,-6.585704956E0,9.246272278E-1
2.372705333E0,7.065606995E0,-6.577023010E0,8.931925964E-1
2.382701333E0,7.024592285E0,-6.587501221E0,8.526269531E-1
2.392697333E0,7.006479950E0,-6.575376434E0,8.535250854E-1
2.402692333E0,6.993906097E0,-6.530170441E0,9.331594849E-1
2.412688333E0,7.019502869E0,-6.578070831E0,9.624984741E-1
2.422684333E0,7.086413727E0,-6.649921417E0,9.997709656E-1
2.432679333E0,7.134014740E0,-6.701863403E0,1.023870850E0
2.442675333E0,7.112459564E0,-6.700815582E0,9.446855164E-1
2.452671333E0,7.075636139E0,-6.685547333E0,9.740245056E-1
2.462666333E0,7.003635864E0,-6.670578461E0,9.874964905E-1
2.472662333E0,6.938820648E0,-6.649771729E0,1.037193146E0
2.482657333E0,6.923851776E0,-6.633605347E0,1.070274353E0
2.492653333E0,6.980883179E0,-6.629863129E0,1.089135132E0
2.502649333E0,7.079677734E0,-6.624773712E0,1.118025055E0
2.512644333E0,7.140451355E0,-6.651567993E0,1.051413574E0
2.522640333E0,7.139253845E0,-6.640041962E0,1.012644196E0
2.532636333E0,7.121590576E0,-6.615043945E0,1.033151550E0
2.542631333E0,7.070995789E0,-6.569837952E0,1.051114197E0
2.552627333E0,7.022496643E0,-6.526577911E0,1.040037231E0
2.562623333E0,6.995402985E0,-6.520590363E0,1.014440460E0
2.572618333E0,6.968758392E0,-6.519692230E0,1.023272095E0
2.582614333E0,6.992858276E0,-6.567143555E0,9.574090576E-1
2.592609333E0,7.057224426E0,-6.585704956E0,9.029223633E-1
2.602605333E0,7.092700653E0,-6.581363983E0,8.696914673E-1
2.612601333E0,7.128476257E0,-6.537804565E0,8.770262146E-1
2.622596333E0,7.170987854E0,-6.515351257E0,9.696835327E-1
2.632592333E0,7.186405792E0,-6.500232697E0,1.039887543E0
2.642588333E0,7.172933807E0,-6.474935303E0,1.131497040E0
2.652583333E0,7.182513885E0,-6.512656860E0,1.168170776E0
2.662579333E0,7.209906921E0,-6.564149780E0,1.125808868E0
2.672575333E0,7.250771942E0,-6.610253906E0,1.068178711E0
2.682570333E0,7.268135834E0,-6.614445190E0,9.960287476E-1
2.692566333E0,7.249574432E0,-6.565646667E0,1.018182678E0
2.702562333E0,7.231462097E0,-6.525530090E0,1.100960541E0
2.712557333E0,7.214397583E0,-6.521638184E0,1.143322449E0
2.722553333E0,7.216942291E0,-6.511159973E0,1.195264435E0
2.732549333E0,7.237150269E0,-6.548432465E0,1.197060699E0
2.742544333E0,7.223378906E0,-6.584806824E0,1.116677856E0
2.752540208E0,7.209158478E0,-6.568490753E0,1.009500732E0
2.762535208E0,7.182663574E0,-6.528823242E0,9.624984741E-1
