"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.184586175E1,-3.232156754E1,2.709185028E1,5.663970947E0
4.185585775E1,-3.206803131E1,2.739062500E1,6.499969482E0
4.186585375E1,-3.167513657E1,2.758117294E1,7.230407715E0
4.187584975E1,-3.129424667E1,2.778494263E1,7.869598389E0
4.188584475E1,-3.084231567E1,2.814290619E1,8.575271606E0
4.189584075E1,-3.038684464E1,2.853512955E1,8.823532104E0
4.190583675E1,-2.979359055E1,2.905695343E1,9.465560913E0
4.191583275E1,-2.922123337E1,2.948163223E1,1.001365662E1
4.192582875E1,-2.856496811E1,2.991744614E1,1.052137756E1
4.193582375E1,-2.813356018E1,3.038191986E1,1.065206909E1
4.194581975E1,-2.776383591E1,3.090040970E1,1.101461792E1
4.195581575E1,-2.705923462E1,3.140892410E1,1.138337708E1
4.196581175E1,-2.655750275E1,3.183868027E1,1.141058350E1
4.197580675E1,-2.590349960E1,3.230828476E1,1.134518433E1
4.198580275E1,-2.540989304E1,3.286841583E1,1.148971558E1
4.199579875E1,-2.488991165E1,3.334659195E1,1.146755981E1
4.200579475E1,-2.414257812E1,3.381893158E1,1.144548035E1
4.201578975E1,-2.369726944E1,3.429737091E1,1.127114868E1
4.202578575E1,-2.348505020E1,3.463502884E1,1.122763062E1
4.203578175E1,-2.312560654E1,3.493658829E1,1.120388794E1
4.204577775E1,-2.291113281E1,3.531618500E1,1.125744629E1
4.205577275E1,-2.237790680E1,3.559820175E1,1.129005432E1
4.206576875E1,-2.229095459E1,3.587507629E1,1.090525818E1
4.207576475E1,-2.227396774E1,3.619747925E1,1.079591370E1
4.208576075E1,-2.204185104E1,3.631460571E1,1.066885376E1
4.209575675E1,-2.198725128E1,3.650839615E1,1.071359253E1
4.210575175E1,-2.184709549E1,3.661354446E1,1.060327148E1
4.211574775E1,-2.177281952E1,3.681061554E1,1.057415771E1
4.212574375E1,-2.179537582E1,3.696874619E1,1.045393372E1
4.213573975E1,-2.168368530E1,3.710933304E1,1.037007141E1
4.214573475E1,-2.164678955E1,3.749265289E1,1.012091064E1
4.215573075E1,-2.153728104E1,3.761962128E1,1.000306702E1
4.216572675E1,-2.135651016E1,3.776305008E1,9.800064087E0
4.217572275E1,-2.147385406E1,3.802254105E1,9.330352783E0
4.218571775E1,-2.136263657E1,3.820399094E1,9.150527954E0
4.219571375E1,-2.128260422E1,3.834222031E1,8.993026733E0
4.220570975E1,-2.125052643E1,3.848443222E1,8.778228760E0
4.221570575E1,-2.112477875E1,3.852910995E1,8.721511841E0
4.222570175E1,-2.122591019E1,3.863732147E1,8.610992432E0
4.223569675E1,-2.114424515E1,3.890974426E1,8.690170288E0
4.224569275E1,-2.107239151E1,3.907579422E1,8.693054199E0
4.225568875E1,-2.131387329E1,3.922724915E1,8.886001587E0
4.226568475E1,-2.113412094E1,3.917052841E1,9.040740967E0
4.227567975E1,-2.117158890E1,3.916272354E1,9.202957153E0
4.228567575E1,-2.111186600E1,3.928168106E1,9.472229004E0
4.229567175E1,-2.098576355E1,3.952107239E1,9.742538452E0
4.230566775E1,-2.088115692E1,3.953075027E1,9.720153809E0
4.231566275E1,-2.065433884E1,3.957366562E1,9.763702393E0
4.232565875E1,-2.055992889E1,3.971765900E1,9.810394287E0
4.233565475E1,-2.042187881E1,4.002018738E1,9.600143433E0
4.234565075E1,-2.027771759E1,4.034262085E1,9.691864014E0
4.235564575E1,-2.027000427E1,4.037728882E1,9.266799927E0
4.236564175E1,-2.020775986E1,4.051242447E1,9.059677124E0
4.237563775E1,-2.029577637E1,4.084017181E1,8.620590210E0
4.238563375E1,-2.030117798E1,4.095301437E1,8.360244751E0
4.239562975E1,-2.022602081E1,4.107695389E1,8.173736572E0
4.240562475E1,-2.060721207E1,4.128144836E1,7.480239868E0
4.241562075E1,-2.062087631E1,4.147574997E1,7.046112061E0
4.242561675E1,-2.075960922E1,4.164228439E1,6.626235962E0
4.243561275E1,-2.089838791E1,4.177164841E1,6.011322021E0
4.244560775E1,-2.099668884E1,4.179611206E1,5.721267700E0
4.245560375E1,-2.116850662E1,4.199082947E1,5.308822632E0
4.246559975E1,-2.118016052E1,4.196313477E1,5.020874023E0
4.247559575E1,-2.126618958E1,4.193746948E1,4.680816650E0
4.248559075E1,-2.134379196E1,4.204776382E1,4.277923584E0
4.249558675E1,-2.141873169E1,4.222000122E1,4.233200073E0
4.250558275E1,-2.151851654E1,4.233413696E1,3.845031738E0
4.251557875E1,-2.159378815E1,4.248395538E1,3.272689819E0
4.252557375E1,-2.185381317E1,4.268137360E1,2.873855591E0
4.253556975E1,-2.183906937E1,4.272694016E1,2.407470703E0
4.254556575E1,-2.193112183E1,4.286953735E1,2.014678955E0
4.255556175E1,-2.214832687E1,4.296912003E1,1.468933105E0
4.256555775E1,-2.208783340E1,4.303712082E1,1.333267212E0
4.257555275E1,-2.221015549E1,4.314187241E1,7.530212402E-1
4.258554875E1,-2.232976532E1,4.321776962E1,3.481292725E-1
4.259554475E1,-2.229679489E1,4.330325317E1,-2.348327637E-1
4.260554075E1,-2.240045547E1,4.333218765E1,-8.129272461E-1
4.261553575E1,-2.237551117E1,4.348992920E1,-1.255249023E0
4.262553175E1,-2.250636673E1,4.363770676E1,-1.623458862E0
4.263552775E1,-2.248414993E1,4.372116089E1,-1.933731079E0
