"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.831069583e-1,-6.882236411e-1,-9.851122883e-1,3.577299054e0,3.773747014e0
9.931589583e-1,-7.708924531e-1,-8.446174371e-1,1.696507056e0,2.045920326e0
1.003210958e0,-9.328179344e-1,-7.610113165e-1,1.579730558e-1,1.214184092e0
1.013263958e0,-8.960948619e-1,-7.146616074e-1,-1.102343407e0,1.590247843e0
1.023315958e0,-7.915856031e-1,-7.774481320e-1,-1.913006063e0,2.211475879e0
1.033367958e0,-6.828085347e-1,-8.643497434e-1,-2.247962058e0,2.503330059e0
1.043419958e0,-5.811763984e-1,-9.591836876e-1,-2.424390680e0,2.671229964e0
1.053472958e0,-5.737209792e-1,-1.144349805e0,-2.570292744e0,2.871427698e0
1.063524958e0,-5.003693033e-1,-1.339141023e0,-2.668732374e0,3.027507325e0
1.073576958e0,-4.749085164e-1,-1.403435837e0,-2.561755224e0,2.959351293e0
1.083628958e0,-4.841147382e-1,-1.461465652e0,-2.327078978e0,2.790259039e0
1.093681958e0,-4.517998816e-1,-1.596293966e0,-1.931982032e0,2.546533356e0
1.103733958e0,-5.019913575e-1,-1.604712203e0,-1.497411118e0,2.251518739e0
1.113785958e0,-5.675536285e-1,-1.534128708e0,-1.214009439e0,2.037028947e0
1.123837958e0,-5.951792374e-1,-1.423507867e0,-1.128229031e0,1.911416678e0
1.133889958e0,-4.152984186e-1,-1.347972073e0,-1.345384680e0,1.949246373e0
1.143942958e0,-2.074894707e-1,-1.266633795e0,-1.695385560e0,2.126439571e0
1.153994958e0,-2.090014876e-1,-1.125458913e0,-1.694359374e0,2.044796585e0
1.164046958e0,-3.441373656e-1,-1.102031166e0,-1.517686338e0,1.906901947e0
1.174098958e0,-2.697124699e-1,-9.520059380e-1,-1.545536626e0,1.835141298e0
1.184151958e0,-1.580721661e-2,-7.614051265e-1,-1.764335343e0,1.921683334e0
1.194203958e0,2.157455930e-1,-6.830422041e-1,-2.082487024e0,2.202236368e0
1.204255958e0,4.281683595e-1,-5.818622768e-1,-2.271278415e0,2.383400405e0
1.214307958e0,3.785956652e-1,-3.961310264e-1,-2.289377301e0,2.354039697e0
1.224359958e0,2.305781153e-1,-2.352823099e-1,-2.170944287e0,2.195796696e0
1.234412958e0,3.567172846e-1,-3.816857725e-2,-1.937325802e0,1.970262756e0
1.244464958e0,3.573424982e-1,2.011179060e-1,-1.643907259e0,1.694276585e0
1.254516958e0,2.323432070e-1,3.613038406e-1,-1.344297098e0,1.411261322e0
1.264568958e0,1.803224297e-1,5.229197118e-1,-1.003317887e0,1.145691051e0
1.274621958e0,6.118694566e-2,6.796660218e-1,-6.100493646e-1,9.153414503e-1
1.284673958e0,-1.933548501e-1,7.818849993e-1,-3.789048368e-1,8.901118612e-1
1.294725958e0,-4.156947137e-1,9.233159897e-1,-3.792825669e-1,1.081281544e0
1.304777958e0,-5.109912457e-1,1.075447385e0,-4.222824061e-1,1.263337469e0
1.314830958e0,-4.450155035e-1,1.133222845e0,-3.520959377e-1,1.267361182e0
1.324882958e0,-1.741166335e-1,1.092807183e0,-1.059082782e-1,1.111647743e0
1.334934958e0,5.641174391e-2,1.015120784e0,2.093940550e-1,1.038026185e0
1.344986958e0,5.283704862e-2,9.370528534e-1,7.032650918e-1,1.172792221e0
1.355038958e0,-5.837567747e-3,8.100054288e-1,1.396487006e0,1.614409747e0
1.365091958e0,2.932904899e-2,7.043260691e-1,1.847092155e0,1.977039411e0
1.375143958e0,8.244457126e-2,5.940984526e-1,1.926924775e0,2.018115251e0
1.385195958e0,1.085153324e-1,4.900644994e-1,1.818879340e0,1.886865348e0
1.395247958e0,3.361798167e-2,4.655602804e-1,1.604688814e0,1.671197993e0
1.405300958e0,-7.530183189e-2,6.433644605e-1,1.233646728e0,1.393367304e0
1.415352958e0,3.531747490e-2,7.545080432e-1,5.882363266e-1,9.573670598e-1
1.425404958e0,1.041258276e-1,8.025359032e-1,-7.664062500e-2,8.128836628e-1
1.435456958e0,8.309931323e-2,8.610361263e-1,-6.266952181e-1,1.068192681e0
1.445508958e0,2.267661327e-1,1.036654325e0,-6.409630090e-1,1.239721197e0
1.455561958e0,4.492351466e-1,1.085881741e0,-8.181716502e-2,1.177983625e0
1.465613958e0,6.290475529e-1,7.321421510e-1,8.663187933e-1,1.297012415e0
1.475665958e0,8.322658519e-1,1.987600163e-1,2.183162629e0,2.344860562e0
1.485717958e0,7.646998132e-1,-2.402772939e-1,3.458013516e0,3.549698080e0
1.495770958e0,-1.517776385e-2,-3.698267421e-1,4.427730378e0,4.443174370e0
1.505822958e0,-8.077352473e-1,-4.249294406e-1,4.401750614e0,4.495376483e0
1.515874958e0,-8.583462609e-1,-6.798905548e-1,3.098621423e0,3.286405969e0
1.525926958e0,-3.154034901e-1,-8.065225348e-1,1.227432892e0,1.502181568e0
1.535978958e0,2.671838415e-1,-9.363833472e-1,-4.702260661e-1,1.081348016e0
1.546031958e0,5.831366774e-1,-1.074777879e0,-1.726342474e0,2.115526935e0
1.556083958e0,8.908980028e-1,-1.047524591e0,-2.482759926e0,2.838151488e0
1.566135958e0,9.975924392e-1,-8.193735453e-1,-3.131101536e0,3.386792068e0
1.576187958e0,6.099123935e-1,-5.680587548e-1,-3.771021987e0,3.862031939e0
1.586240958e0,1.662494972e-1,-4.672232285e-1,-3.710651824e0,3.743644401e0
1.596292958e0,1.637005498e-1,-3.884828684e-1,-3.165637531e0,3.193583847e0
1.606344958e0,5.810151614e-1,-4.866503102e-1,-2.566207879e0,2.675785870e0
1.616396958e0,1.068811380e0,-7.345281073e-1,-1.863000675e0,2.269947317e0
1.626449958e0,1.380264198e0,-1.034046759e0,-9.283443028e-1,1.958623267e0
1.636501958e0,1.431535070e0,-1.328919798e0,4.848511219e-2,1.953886203e0
1.646553958e0,1.208442159e0,-1.599489177e0,6.360776603e-1,2.103162587e0
1.656605958e0,1.204555514e0,-1.935972464e0,3.261354697e-1,2.303325360e0
1.666657958e0,1.532496897e0,-2.051704065e0,-6.994708335e-1,2.654674322e0
1.676710958e0,1.708763405e0,-1.686395759e0,-2.196272087e0,3.253830682e0
1.686762958e0,1.285976384e0,-1.208175964e0,-3.704996397e0,4.103708411e0
1.696814958e0,2.618967891e-1,-7.650216293e-1,-4.715900461e0,4.784722059e0
1.706866958e0,-6.879219979e-1,-3.530583894e-1,-5.095146191e0,5.153484414e0
1.716919958e0,-9.359760886e-1,-1.081208646e-2,-5.013392175e0,5.100026396e0
1.726971958e0,-5.260052875e-1,-1.346175224e-2,-4.341703802e0,4.373471697e0
