"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.182787333E0,-6.802159548E-2,1.339803487E-1,-5.107119679E-2
2.192782333E0,-8.838723600E-2,1.406644285E-1,-6.230500340E-2
2.202778333E0,-1.010740027E-1,1.204193532E-1,-6.193189323E-2
2.212773333E0,-9.575951844E-2,7.573609054E-2,-4.728856683E-2
2.222771333E0,-7.671312243E-2,2.452377416E-2,-3.445799276E-2
2.232767333E0,-4.500975087E-2,-3.395193070E-2,-3.447597474E-2
2.242762333E0,-1.131996606E-2,-8.853980154E-2,-4.444578663E-2
2.252758333E0,3.165800590E-3,-1.098604575E-1,-5.858753622E-2
2.262753333E0,-3.959108144E-4,-8.403205127E-2,-6.408243626E-2
2.272749333E0,-2.409071475E-2,-4.232553020E-2,-6.129962951E-2
2.282745333E0,-4.828366637E-2,7.399125025E-4,-5.509233102E-2
2.292740333E0,-5.922995880E-2,2.757704630E-2,-3.164881095E-2
2.302736333E0,-6.109923497E-2,4.246518388E-2,-2.302496321E-2
2.312732333E0,-6.150434539E-2,3.306039795E-2,-2.311922982E-2
2.322727333E0,-4.886258766E-2,2.965081017E-3,-3.297878429E-2
2.332723333E0,-3.322716802E-2,-1.815351844E-2,-3.499107063E-2
2.342718333E0,-1.322869398E-2,-1.621260680E-2,-4.198000208E-2
2.352714333E0,-5.188507959E-3,3.513260512E-3,-3.955694288E-2
2.362710333E0,-8.988040499E-3,1.011603512E-2,-3.756143153E-2
2.372705333E0,-1.819574274E-2,8.000329137E-3,-2.843108214E-2
2.382701333E0,-2.605872601E-2,1.692511514E-2,-2.320942096E-2
2.392697333E0,-3.866140544E-2,1.399485953E-2,-1.303267479E-2
2.402692333E0,-4.620187730E-2,1.050425414E-2,-1.363907568E-2
2.412688333E0,-4.402554780E-2,1.239802781E-2,-1.322096027E-2
2.422684333E0,-4.195254296E-2,2.037259750E-2,-1.724552922E-2
2.432679333E0,-4.740490764E-2,3.817934915E-2,-2.486539632E-2
2.442675333E0,-5.926716328E-2,5.382595211E-2,-2.998825163E-2
2.452671333E0,-6.739006937E-2,6.267297268E-2,-2.714239806E-2
2.462666333E0,-6.940741092E-2,6.348843127E-2,-1.454404742E-2
2.472662333E0,-6.144151092E-2,4.607662186E-2,2.600919455E-3
2.482657333E0,-4.271842539E-2,3.298692033E-2,1.735137030E-2
2.492653333E0,-2.544658817E-2,9.812800214E-3,2.095326595E-2
2.502649333E0,-7.489956450E-3,-1.115027256E-2,2.260336094E-2
2.512644333E0,2.229460981E-3,-1.449077390E-2,1.598408259E-2
2.522640333E0,6.528868340E-3,-5.327368621E-3,1.109744888E-2
2.532636333E0,5.858628079E-3,-9.300119709E-4,1.340164430E-2
2.542631333E0,8.159332909E-3,6.662865635E-4,1.315956376E-2
2.552627333E0,1.418482140E-2,2.004479058E-3,1.369684190E-2
2.562623333E0,1.852337644E-2,-3.723980626E-3,1.318338513E-2
2.572618333E0,2.184444107E-2,-4.470896441E-3,1.891835406E-2
2.582614333E0,9.932122193E-3,-7.692256477E-3,1.979213767E-2
2.592609333E0,-1.362431049E-2,-7.202120498E-3,1.978978142E-2
2.602605333E0,-5.115091428E-2,-4.838830791E-3,1.943930984E-2
2.612601333E0,-7.996843010E-2,-4.363482818E-3,1.487264689E-2
2.622596333E0,-8.960321546E-2,-1.521091443E-3,1.065819431E-2
2.632592333E0,-7.543535531E-2,2.169619780E-3,1.141092274E-2
2.642588333E0,-5.078913271E-2,-2.514614491E-3,1.208896283E-2
2.652583333E0,-2.266494371E-2,-6.645252928E-3,5.366899073E-3
2.662579333E0,-7.639057003E-4,-1.009244937E-2,-3.587980289E-3
2.672575333E0,-4.637473729E-3,-6.454304792E-3,-8.124142885E-3
2.682570333E0,-1.192601211E-2,3.844671650E-3,-5.188273732E-3
2.692566333E0,-1.751933433E-2,7.125092670E-3,4.377336707E-3
2.702562333E0,-1.887621544E-2,1.378725562E-2,1.025439985E-2
2.712557333E0,-1.138208900E-3,2.051451430E-2,5.356087815E-3
2.722553333E0,2.886123583E-2,1.470163185E-2,4.894028883E-3
2.732549333E0,5.339198187E-2,7.849419490E-3,6.637168117E-4
2.742544333E0,4.984678328E-2,1.883672201E-3,-5.269007292E-3
2.752540208E0,2.422048524E-2,9.425263852E-4,-8.358757012E-3
2.762535208E0,-4.457233008E-3,4.542587791E-3,-1.062244363E-2
2.772531208E0,-1.945914701E-2,1.337485388E-2,-8.123412728E-3
2.782527208E0,-1.024008170E-2,3.609241545E-2,-1.485055778E-2
2.792522208E0,9.295152500E-3,4.596827924E-2,-1.578646153E-2
